Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Brasil,"0,68","0,6","73,94","16,7","18,83","94,37","0,727","0,739","0,816","0,637","84,05","0,686","0,549","1,89","45,87","7,36","793,87"
Água Branca (PB),"0,56","0,54","67,72","34,9","37,6","92,01","0,572","0,542","0,712","0,484","77,84","0,616","0,299","1,87","61,69","8,52","233,65"
Aguiar (PB),"0,86","0,65","70,17","26,9","28,99","93,77","0,597","0,632","0,753","0,447","82,13","0,591","0,256","2,02","60,29","11,43","407,32"
Alagoa Grande (PB),"0,53","0,53","72,83","19,5","21,07","95,43","0,582","0,576","0,797","0,43","86,44","0,545","0,267","2,52","61,05","10,74","287,94"
Alagoa Nova (PB),"0,55","0,54","69,93","27,6","29,77","93,61","0,576","0,567","0,749","0,451","81,72","0,574","0,278","2,01","59,06","9,52","272,81"
Alagoinha (PB),"0,5","0,52","72,72","19,8","21,35","95,37","0,595","0,574","0,795","0,462","86,28","0,581","0,292","2,55","60,42","9,18","284,64"
Alcantil (PB),"0,46","0,48","70,91","24,7","26,63","94,27","0,578","0,55","0,765","0,458","83,37","0,605","0,263","1,96","57,94","10,29","245,01"
Algodão de Jandaíra (PB),"0,41","0,47","69,93","27,6","29,77","93,61","0,548","0,532","0,749","0,413","81,72","0,537","0,244","2,34","60,08","8,92","218,7"
Alhandra (PB),"0,38","0,45","71,69","22,5","24,28","94,76","0,582","0,544","0,778","0,465","84,65","0,568","0,312","2,71","54,85","5,68","236,14"
Amparo (PB),"0,46","0,5","70,14",27,"29,07","93,76","0,606","0,537","0,752","0,551","82,08","0,674","0,368","2,04","54,44",9,"225,5"
Aparecida (PB),"0,51","0,51","69,79",28,"30,24","93,52","0,578","0,567","0,747","0,456","81,48","0,59","0,272","1,95","54,63","11,29","271,98"
Araçagi (PB),"0,54","0,53","69,7","28,3","30,53","93,45","0,549","0,54","0,745","0,412","81,33","0,543","0,237","2,24","58,85","10,96","230,52"
Arara (PB),"0,58","0,54","67,69",35,"37,69","91,99","0,548","0,569","0,712","0,407","77,79","0,544","0,227","2,35","64,26","13,77","276,67"
Araruna (PB),"0,56","0,52","70,45",26,"28,08","93,96","0,567","0,549","0,758","0,439","82,61","0,563","0,267","2,54",65,"9,31","244,02"
Areia de Baraúnas (PB),"0,4","0,46","65,81",42,"45,24","90,47","0,562","0,566","0,68","0,462","74,33","0,585","0,289","2,12","52,09","8,04","270,54"
Areial (PB),"0,47","0,49","71,75","22,3","24,11","94,79","0,608","0,573","0,779","0,503","84,74","0,662","0,29","1,88","58,19","11,02","282,18"
Areia (PB),"0,55","0,55","70,34","26,3","28,42","93,89","0,594","0,593","0,756","0,467","82,42","0,572","0,311","2,35","56,35","9,43","319,92"
Aroeiras (PB),"0,64","0,58","69,71","28,2","30,48","93,47","0,548","0,537","0,745","0,411","81,36","0,541","0,238",2,"65,61","10,54","226,05"
Assunção (PB),"0,53","0,54","69,3","29,6","31,88","93,18","0,609","0,601","0,738","0,51","80,64","0,66","0,304","2,11","55,84","8,18","336,67"
Baía da Traição (PB),"0,64","0,58","68,84","31,1","33,5","92,84","0,581","0,541","0,731","0,495","79,83","0,583","0,357","3,21","59,38","5,7","231,78"
Bananeiras (PB),"0,67","0,59","70,98","24,5","26,41","94,31","0,568","0,555","0,766","0,43","83,49","0,554","0,259","1,95","60,28","9,86","253,3"
Baraúna (PB),"0,5","0,51","68,05","33,7","36,34","92,26","0,558","0,526","0,718","0,459","78,44","0,598","0,27","2,49","59,01","10,31","211,36"
